#Id FilterMinCount precision recall f1score
1 1 0.08 0.78 0.14
2 2 0.09 0.77 0.17
3 3 0.10 0.76 0.18
4 4 0.11 0.75 0.19
5 5 0.11 0.75 0.19
6 6 0.11 0.74 0.20
7 7 0.12 0.74 0.21
8 8 0.12 0.73 0.21
9 9 0.12 0.73 0.21
10 10 0.12 0.72 0.21
11 11 0.12 0.72 0.21
12 12 0.12 0.72 0.21
13 13 0.12 0.71 0.20
14 14 0.13 0.71 0.22
15 15 0.13 0.70 0.21
16 16 0.13 0.70 0.21
17 17 0.13 0.70 0.21
18 18 0.13 0.70 0.22
19 19 0.13 0.70 0.22
20 20 0.13 0.70 0.22
21 21 0.13 0.70 0.22
22 22 0.12 0.58 0.19
23 23 0.11 0.57 0.19
24 25 0.11 0.57 0.19
25 28 0.11 0.57 0.19
26 31 0.12 0.57 0.20
27 32 0.12 0.57 0.20
28 41 0.12 0.56 0.20
29 51 0.12 0.56 0.20
30 52 0.14 0.53 0.22
31 54 0.14 0.52 0.22
32 61 0.14 0.51 0.22
33 90 0.14 0.51 0.22
34 94 0.14 0.50 0.21
35 138 0.13 0.49 0.21
36 151 0.13 0.47 0.21
37 200 0.13 0.44 0.20
38 289 0.12 0.42 0.19
39 293 0.11 0.37 0.17
40 301 0.12 0.31 0.18
41 414 0.12 0.28 0.16
42 559 0.11 0.21 0.14
43 1333 0.09 0.15 0.11
