POSREGEX1 1	VB\ DT\ JJ\ NN\ IN\ DT\ (NNP)+\ IN\ (NN)+\ IN\ NN
POSREGEX2 1	VB\ NN\ CC\ NN\ RB\ NN\ NNS
POSREGEX3 1	NNP\ CC\ NNP\ NN\ NNS
POSREGEX4 1	VBG\ DT\ NN\ IN\ DT\ JJ\ NN
POSREGEX5 1	DT\ VBN\ NN
POSREGEX6 1	(JJ)+\ NN\ NNS\ CC\ NNS
POSREGEX7 1	IN\ DT\ NN\ IN\ NNP\ \(\ NNP\ \)\ NN
POSREGEX8 1	(JJ)+\ NNS\ VBG\ NNS\ VBP\ VBN
POSREGEX9 1	NN\ IN\ DT\ RB\ JJ\ (NN)+
POSREGEX10 1	VBG\ CC\ VBG\ DT\ NN\ IN\ JJ\ VBN\ IN\ VBG\ NN
POSREGEX11 1	VB\ RB\ CC\ RB
POSREGEX12 1	NN\ IN\ NN\ IN\ JJ\ NN
POSREGEX13 1	JJ\ (NN)+\ VBN\ IN\ (NN)+\ VBZ\ VBN
POSREGEX14 1	NNS\ IN\ DT\ NN\ IN\ JJ\ NNS\ IN\ NNP\ POS\ (NN)+
POSREGEX15 1	JJ\ (NN)+\ IN\ JJ\ NN\ IN\ DT\ NN\ IN\ JJ\ CC\ JJ\ NNS
POSREGEX16 1	NNS\ VBP\ VBN
POSREGEX17 1	VBN\ (NNP)+
POSREGEX18 1	VB\ NNS\ IN\ DT\ NNP\ NN
POSREGEX19 1	IN\ DT\ NN\ IN\ NNP
POSREGEX20 1	NNP\ NNS\ IN\ JJ\ NNS\ CC\ NN\ NNS
POSREGEX21 1	NNS\ TO\ DT\ JJ\ NN
POSREGEX22 1	VB\ DT\ JJ\ NN\ CC\ (NN)+\ NNS
POSREGEX23 1	VBG\ NN\ CD\ NNS
POSREGEX24 1	NNS\ CC\ NN\ IN\ DT\ JJ\ NN
POSREGEX25 1	NN\ VBG\ IN\ (NN)+
POSREGEX26 1	VBG\ VBN\ NN\ NNS
POSREGEX27 1	RB\ VB\ PRP\$\ NN\ RB\ IN\ NN
POSREGEX28 1	NNS\ VBG\ IN\ DT\ JJ\ NN
POSREGEX29 1	JJ\ NN\ NNS\ IN\ NNP
POSREGEX30 1	NN\ IN\ DT\ JJ\ NN\ IN\ DT\ JJ\ NN\ IN\ NN
POSREGEX31 1	JJ\ NNS\ IN\ DT\ JJ\ (NN)+\ IN\ NNS
POSREGEX32 1	JJ\ DT\ NN\ NNS\ IN\ DT\ JJ\ NNP
POSREGEX33 1	NN\ DT\ VBN\ NNS\ IN\ DT\ NNS\ IN\ JJ\ NNS
POSREGEX34 1	UH
POSREGEX35 1	DT\ NN\ JJ\ NN\ VBZ\ DT\ JJ\ NNS\ IN\ DT\ NN
POSREGEX36 1	RB\ NN\ JJ\ NNS
POSREGEX37 1	CD\ JJ\ NN\ VBN\ \(\ NNP\ \)\ NNP\ (NN)+
POSREGEX38 1	VBG\ TO\ NN\ NNS
POSREGEX39 1	JJ\ CC\ JJ\ (NNS)+\ VBP\ JJ
POSREGEX40 1	JJ\ NNS\ CC\ VB\ DT\ NN\ NNS
POSREGEX41 1	IN\ NN\ IN
POSREGEX42 1	DT\ NNP\ CC\ NNP\ NNS
POSREGEX43 1	IN\ DT\ JJ\ NN\ IN\ DT\ (NN)+\ IN\ (NN)+
POSREGEX44 1	JJ\ NN\ IN\ VBN\ NNS
POSREGEX45 1	(JJ)+\ NN\ JJ\ NN\ JJ\ NNS
POSREGEX46 1	NN\ NNS\ IN\ DT\ JJ\ NNS\ IN\ JJ\ NNS\ IN\ DT\ (NN)+\ NNP
POSREGEX47 1	NN\ IN\ NNP\ IN\ VBG\ NNS
POSREGEX48 1	VBG\ IN\ DT\ NN\ IN\ JJ\ NNS
POSREGEX49 1	VB\ DT\ JJ\ NN\ NNS\ \,
POSREGEX50 1	NN\ NNS\ VBD\ VBN\ RP
POSREGEX51 1	NNP\ VBD\ TO\ NNS
POSREGEX52 1	VB\ JJR\ NN
POSREGEX53 1	NNP\ NN\ IN\ DT\ NN\ NNS
POSREGEX54 1	VBG\ DT\ JJ\ CC\ JJ\ NNS\ IN\ NN\ NNS\ \(\ NNP
